id,abv,spirit_type,fair_price,total_score,wishlist_count,bar_count,ranking
164,46.5,Bourbon,104.52,92451,8983,53771,1
2848,45,Bourbon,66.25,82217,8744,47484,2
4984,50,Bourbon,94.43,61777,8161,34141,3
466,45,Bourbon,41.82,49610,3403,33914,4
158,53.5,Bourbon,116.66,40001,8098,17914,5
2803,45,Bourbon,58.63,39429,3810,25850,6
1586,45,Bourbon,178.62,25142,5835,11106,7
2993,67.2,Bourbon,147.92,23209,6685,5759,8
4662,50,Bourbon,75.24,20707,1832,13049,9
409,57,Bourbon,188.33,20287,5486,8768,10
5120,50,Bourbon,166.45,20267,4889,9593,11
13266,50,Bourbon,62.34,18850,1948,11536,12
13089,47,Bourbon,74.17,17328,2058,10574,13
150,62.5,Bourbon,73.06,16891,2392,9092,14
159,51.5,Bourbon,232.52,14458,3680,6267,15
4905,45,Bourbon,147.57,14337,3855,5527,16
1296,50,Bourbon,86.81,13625,1444,8634,17
1805,45,Rye,46.77,13399,776,9543,18
1816,58.4,Bourbon,70.61,13373,2054,7803,19
2336,45.2,Bourbon,66.85,12705,1456,8042,20
1522,45,Bourbon,56.99,12391,1368,7831,21
263,57.5,Bourbon,72.85,11816,1919,6881,22
3088,50,Bourbon,219.98,10747,3845,2515,23
4589,47.5,Bourbon,231.09,10094,4091,2643,24
4742,57,Bourbon,40.74,10055,1084,6180,25
15946,58,Bourbon,107.24,9863,1450,5466,26
2839,40,Canadian Whisky,95.28,9529,1502,5000,27
2193,50,Bourbon,32.19,9513,736,2892,28
1643,46.85,Bourbon,45.11,9413,950,5913,29
1165,60,Bourbon,68.79,8466,1621,6536,30
3655,43.3,Bourbon,69.02,8236,750,5467,31
4952,45,Bourbon,236.83,8228,1366,4117,32
1587,47,Bourbon,73.74,8210,765,5282,33
4792,47,Bourbon,45.78,8025,799,5232,34
1821,55,Bourbon,81.44,8022,1403,4588,35
355,53.5,Bourbon,85.23,7772,677,5082,37
12843,63.35,Bourbon,269.23,7757,2573,3059,38
2214,46.5,Bourbon,67.48,7673,1167,4673,39
1211,53.5,Bourbon,576.68,7590,2100,2773,40
16078,57.4,Bourbon,246.23,7586,2297,2582,41
1074,50,Bourbon,36.14,7542,941,4780,42
1282,55,Rye,89.01,7534,595,4928,43
873,45,Bourbon,90.38,7487,700,4544,44
1629,45.5,Bourbon,72.44,7458,774,5214,45
3574,50,Bourbon,84.64,7312,1002,4756,46
1510,64.6,Bourbon,133.7,7250,1728,3305,47
3300,53.5,Bourbon,709.41,7110,3453,1065,48
33209,58.6,Bourbon,362.17,6897,3960,1156,49
2879,45.6,Bourbon,87.85,6813,1776,3234,50
3819,49.3,Bourbon,68,6683,1035,4181,51
21319,45,Bourbon,48.84,6641,309,4464,52
3660,45.2,Bourbon,54.2,6608,685,4425,53
4739,64.05,Bourbon,366.21,6594,2977,1471,54
4245,64,Bourbon,94.49,6537,1092,3777,55
4448,48.5,Bourbon,252.98,6456,2946,1441,56
477,70.7,Bourbon,843.74,6424,3283,778,57
4762,64,Whiskey,86.27,6225,779,4021,58
4255,45.5,Bourbon,72.02,6221,531,4145,59
620,45,Bourbon,82.63,5928,365,4026,60
4373,52,Bourbon,77.21,5865,633,3714,61
3671,50,Rye,171.45,5810,1091,3152,62
4708,50.5,Bourbon,39.44,5764,726,3485,63
519,47.8,Bourbon,958.61,5689,2453,254,64
15947,50,Bourbon,76.79,5648,862,3337,65
15966,50,Bourbon,50.86,5436,666,3401,66
13668,50.5,Bourbon,66.69,5428,786,2909,67
1702,49.3,Rye,212.92,5360,1519,1749,68
3959,67.4,Bourbon,563.81,5255,2829,509,69
4002,47.2,Bourbon,346.85,5190,1972,1699,70
987,45.5,Bourbon,100.87,5119,792,2999,71
13584,65.15,Rye,99.92,5059,720,3201,72
3694,45.2,Bourbon,736.03,5024,1084,2083,73
1641,50.5,Bourbon,92.34,4878,515,3274,74
17951,52,Bourbon,87.86,4794,404,3290,75
144,67.1,Bourbon,104.95,4765,1205,1713,76
3773,45,Bourbon,49.36,4736,493,3081,77
